Property,Name,Value,Raw_value,Unit,Extracted_name,Specifier
Capacity,Lithium–potassium-doped manganese dioxide,130,130,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Mn': '1.0', 'O': '2.0'}]",specific capacity
Capacity,LiMn2O4 electrode,116,116,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",reversible capacity
Capacity,LiFePO4,148,148,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",discharge capacity
Capacity,Li2ZnTi3O8,43,"43 , 57.4 , 77.6 and 48",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",
Capacity,Li2ZnTi3O8,77.6,"43 , 57.4 , 77.6 and 48",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",
Capacity,Li2ZnTi3O8,157.4,"157.4 , 188.7 , 204.1 and 167.3",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",charge specific capacities
Capacity,Li2ZnTi3O8,215.3,"200.4 , 246.1 , 281.7 and 215.3",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",discharge specific capacities
Capacity,Li2ZnTi3O8,185.4,134.8 and 185.4,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",
Capacity,Li2ZnTi3O8,48,"43 , 57.4 , 77.6 and 48",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",
Capacity,Li2ZnTi3O8,200.4,"200.4 , 246.1 , 281.7 and 215.3",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",discharge specific capacities
Capacity,Li2ZnTi3O8,246.1,"200.4 , 246.1 , 281.7 and 215.3",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",discharge specific capacities
Capacity,Li2ZnTi3O8,190.9,"190.9 , 242.9 , 286.5 and 214.3",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'C': '12.0', 'H': '22.0', 'O': '11.0'}]",discharge specific capacities
Capacity,Li2ZnTi3O8,57.4,"43 , 57.4 , 77.6 and 48",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",
Capacity,Li2ZnTi3O8,240,240,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",capacity
Capacity,Li2ZnTi3O8,114.9,114.9 and 124.6,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",discharge capacities
Capacity,Li2ZnTi3O8,134.8,134.8 and 185.4,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",
Capacity,Li2ZnTi3O8,281.7,"200.4 , 246.1 , 281.7 and 215.3",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",discharge specific capacities
Capacity,Li2ZnTi3O8,167.3,"157.4 , 188.7 , 204.1 and 167.3",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",charge specific capacities
